Date,Close/Last,Volume,Open,High,Low
02/04/2022,$55.15,19675870,$54.894,$55.62,$54.39
02/03/2022,$55.2,19260470,$55.87,$56.15,$55.06
02/02/2022,$56.17,23316720,$55.225,$56.315,$55.17
02/01/2022,$55.37,22438470,$55.45,$55.5,$54.735
01/31/2022,$55.67,29925300,$55.43,$55.86,$54.87
01/28/2022,$55.61,30976580,$54.5,$55.66,$53.445
01/27/2022,$54.62,25967390,$55.51,$56.53,$54.4
01/26/2022,$55.33,28632690,$56.11,$56.45,$54.855
01/25/2022,$56.11,25156430,$56.09,$56.6851,$55.07
01/24/2022,$56.9,34191540,$56.16,$57,$54.87
01/21/2022,$56.68,25913970,$58.07,$58.34,$56.61
01/20/2022,$58.08,17726480,$58.99,$59.34,$58.02
01/19/2022,$58.9,24333870,$57.995,$59.49,$57.78
01/18/2022,$59.73,26550560,$59.98,$60.22,$59.49
01/14/2022,$61.36,18832050,$61.472,$61.5,$60.94
01/13/2022,$61.5,14871640,$62.08,$62.15,$61.21
01/12/2022,$62.12,13405380,$62.4,$62.8175,$61.9201
01/11/2022,$62.37,22804160,$61.595,$62.43,$61.44
01/10/2022,$61.82,24715340,$60.865,$61.895,$60.52
01/07/2022,$61.13,20152410,$60.87,$61.5,$60.67
01/06/2022,$60.92,19616650,$60,$61.13,$59.91
01/05/2022,$60.28,30317890,$61.19,$61.64,$60.25
01/04/2022,$61.25,29682500,$62.44,$62.81,$61.11
01/03/2022,$63.16,17189200,$62.9,$63.35,$62.5
12/31/2021,$63.37,10359100,$63.545,$63.819,$63.32
12/30/2021,$63.62,9076698,$64.04,$64.14,$63.47
12/29/2021,$63.96,15069940,$63.65,$64.285,$63.55
12/28/2021,$63.53,12871660,$63.42,$63.84,$63.23
12/27/2021,$63.42,14780510,$62.41,$63.47,$62.28
12/23/2021,$62.28,17771400,$61.79,$62.895,$61.79
12/22/2021,$61.53,17095450,$60.97,$61.595,$60.615
12/21/2021,$61.03,20761100,$60.44,$61.2377,$60
12/20/2021,$60.36,21342150,$59.67,$60.41,$59.3
12/17/2021,$60.46,62333270,$60.27,$60.795,$59.785
12/16/2021,$60.31,24599320,$60.05,$60.76,$59.87
12/15/2021,$59.93,27953910,$57.921,$60.03,$57.9
12/14/2021,$57.77,19114190,$58.34,$58.525,$57.37
12/13/2021,$58.61,18496310,$59.1,$59.51,$58.54
12/10/2021,$59.25,19901480,$57.91,$59.34,$57.908
