Date,Close/Last,Volume,Open,High,Low
02/04/2022,$237.09,89342250,$234.97,$242.6099,$230.11
02/03/2022,$237.76,188119900,$244.645,$248,$235.745
02/02/2022,$323,58458280,$327.82,$328,$316.8747
02/01/2022,$319,18023800,$314.555,$319.6598,$312.12
01/31/2022,$313.26,21579470,$300.68,$313.79,$299.32
01/28/2022,$301.71,21871620,$295.6204,$301.9,$293.0333
01/27/2022,$294.64,21629920,$297.752,$301.709,$294.26
01/26/2022,$294.63,28348800,$307.01,$307.51,$290.85
01/25/2022,$300.15,25108450,$299.95,$306.23,$297.58
01/24/2022,$308.71,38936900,$297.84,$309.53,$289.01
01/21/2022,$303.17,28710720,$314.81,$318.31,$303.04
01/20/2022,$316.56,16925030,$323.9,$327.82,$315.98
01/19/2022,$319.59,20814740,$319.582,$327.1,$319.33
01/18/2022,$318.15,22677330,$323.29,$324.21,$317.64
01/14/2022,$331.9,16868500,$321.79,$332.73,$321.21
01/13/2022,$326.48,14797110,$334.98,$335.63,$325.76
01/12/2022,$333.26,14104860,$335.18,$336.365,$330.03
01/11/2022,$334.37,16226850,$326.78,$334.63,$325.28
01/10/2022,$328.07,24942380,$325.31,$328.34,$315.43
01/07/2022,$331.79,14722020,$332.74,$337,$328.8801
01/06/2022,$332.46,27962810,$322.82,$339.165,$322.72
01/05/2022,$324.17,20564520,$333.02,$335.76,$323.84
01/04/2022,$336.53,15997970,$339.95,$343.0854,$331.8711
01/03/2022,$338.54,14562850,$338.295,$341.0816,$337.19
12/31/2021,$336.35,12870480,$343.015,$343.44,$336.27
12/30/2021,$344.36,10593350,$344,$347.23,$343.22
12/29/2021,$342.94,10747010,$346.91,$349.6899,$341.6401
12/28/2021,$346.22,16637610,$346.63,$352.71,$345.2
12/27/2021,$346.18,17795030,$338.845,$347.87,$338.01
12/23/2021,$335.24,13987700,$330.1,$336.67,$328.36
12/22/2021,$330.45,16764570,$333.8,$334.51,$328.26
12/21/2021,$334.2,16116780,$326.41,$336,$323.75
12/20/2021,$325.45,17901780,$329.775,$329.9,$322.53
12/17/2021,$333.79,40012640,$332.795,$337.11,$330.75
12/16/2021,$334.9,22635030,$338.98,$344.46,$333.74
12/15/2021,$341.66,24681330,$332.494,$342.11,$323.98
12/14/2021,$333.74,20461020,$328.05,$335.7,$327.65
12/13/2021,$334.49,22948660,$330.95,$341.09,$329.59
12/10/2021,$329.75,14527970,$332.555,$335.03,$326.37
12/09/2021,$329.82,16879170,$329.54,$336.13,$328
12/08/2021,$330.56,19937720,$325,$332.75,$323.07
12/07/2021,$322.81,18794050,$321.57,$326.54,$321
12/06/2021,$317.87,21758340,$308.13,$320.1,$306.34
12/03/2021,$306.84,27471010,$313.73,$313.75,$299.5
12/02/2021,$310.39,24396170,$311.4,$314.6,$307.2
12/01/2021,$310.6,30384080,$330.29,$330.5,$310.29
11/30/2021,$324.46,25390010,$335,$335.81,$323.43
11/29/2021,$338.03,16650950,$336.89,$340.67,$335.305
11/26/2021,$333.12,14750740,$335.795,$337.75,$331.902
11/24/2021,$341.06,13566180,$336,$341.78,$332.81
11/23/2021,$337.25,17224990,$338.93,$341.3999,$333.5
11/22/2021,$341.01,27116810,$349.05,$353.83,$340.51
11/19/2021,$345.3,26488540,$342.2,$352.1,$339.9
11/18/2021,$338.69,17487240,$339.72,$342.46,$335.3
11/17/2021,$340.77,13602810,$344.24,$347.3,$340.1
11/16/2021,$342.96,18181110,$343.83,$346.65,$340.87
11/15/2021,$347.56,25076600,$344.34,$353.65,$343.2
11/12/2021,$340.89,25414310,$330.18,$341.86,$329.78
11/11/2021,$327.74,12376560,$329.82,$332.459,$327
11/10/2021,$327.64,21872610,$332.49,$333.19,$325.51
11/09/2021,$335.37,17556720,$340,$341.3075,$334.47
11/08/2021,$338.62,18342460,$344.42,$344.789,$338.34
11/05/2021,$341.13,26872820,$340.31,$346.79,$339.64
11/04/2021,$335.85,22495280,$334.007,$337.273,$332.65
11/03/2021,$331.62,20786500,$327.49,$332.15,$323.2
11/02/2021,$328.08,28352970,$331.38,$334.7895,$323.8
11/01/2021,$329.98,31518890,$326.04,$333.45,$326
10/29/2021,$323.57,37059380,$320.19,$325.9999,$319.6
10/28/2021,$316.92,50806840,$312.99,$325.52,$308.11
10/27/2021,$312.22,29971760,$314.19,$319.25,$312.06
10/26/2021,$315.81,65654040,$328.26,$330.2099,$309.6
10/25/2021,$328.69,38408960,$320.3,$329.56,$319.72
10/22/2021,$324.61,35224540,$326.345,$329.63,$321.11
10/21/2021,$341.88,16354420,$340.275,$342.31,$337.8
10/20/2021,$340.78,13639470,$343.445,$343.98,$339.4531
10/19/2021,$339.99,18786320,$339.645,$342.46,$337.28
10/18/2021,$335.34,21585020,$328.95,$335.89,$327.5
10/15/2021,$324.76,21596370,$328.68,$329.07,$322.51
10/14/2021,$328.53,14302150,$328.355,$330.52,$327.1
10/13/2021,$324.54,14761470,$326.97,$327,$322.66
10/12/2021,$323.77,31658680,$323.03,$324.38,$317.37
10/11/2021,$325.45,14708220,$327.625,$330.46,$325.31
10/08/2021,$330.05,15946110,$331.51,$333.4,$328.71
10/07/2021,$329.22,28307460,$337,$338.84,$328.98
10/06/2021,$333.64,26443010,$329.74,$334.38,$325.8
10/05/2021,$332.96,35377950,$328.58,$335.18,$326.1638
10/04/2021,$326.23,42884980,$335.53,$335.94,$322.7
10/01/2021,$343.01,14905310,$341.61,$345.02,$338.64
09/30/2021,$339.39,16547090,$340.445,$342.8,$338.15
09/29/2021,$339.61,14452240,$343.15,$345.23,$338.88
09/28/2021,$340.65,21710290,$347.97,$349.6,$338.92
09/27/2021,$353.58,15205840,$349.805,$355.15,$347.08
09/24/2021,$352.96,18801930,$343.239,$354.35,$342.37
09/23/2021,$345.96,21806260,$345.355,$349.67,$343
09/22/2021,$343.21,43692860,$347.23,$349.84,$340.6901
09/21/2021,$357.48,11751920,$358.5,$360.04,$355.19
09/20/2021,$355.7,19822770,$359.3,$361.03,$349.8
09/17/2021,$364.72,26298970,$371.405,$371.41,$361.59
09/16/2021,$373.06,11934220,$372.79,$373.56,$369.71
09/15/2021,$373.92,17940300,$377,$377.555,$367.67
09/14/2021,$376.53,8711569,$377.4,$378.59,$375.11
09/13/2021,$376.51,13026280,$381.68,$381.75,$374.3451
09/10/2021,$378.69,11549600,$381.361,$383.79,$378.26
09/09/2021,$378,9098941,$377.64,$379.83,$376.565
09/08/2021,$377.57,11067170,$380.16,$380.87,$374.79
09/07/2021,$382.18,10798920,$375.88,$382.96,$373.15
09/03/2021,$376.26,7511356,$374.75,$377.16,$373.11
09/02/2021,$375.28,14838270,$381.5,$381.75,$374.06
09/01/2021,$382.05,11567160,$379.59,$384.33,$378.81
08/31/2021,$379.38,12345350,$379.95,$382.759,$378.8
08/30/2021,$380.66,13547260,$372.56,$381.49,$370.52
08/27/2021,$372.63,11219140,$365.1,$373.74,$364.08
08/26/2021,$364.38,7888683,$368.375,$369.44,$364.13
08/25/2021,$368.39,9684519,$365.6,$370.86,$365.4
08/24/2021,$365.51,9235148,$363.66,$367.9559,$361.84
08/23/2021,$363.35,10942010,$359.44,$365.69,$359.1
08/20/2021,$359.37,8697667,$354.6,$359.9898,$353.31
08/19/2021,$355.12,12004540,$351.345,$357.57,$351
08/18/2021,$355.45,10042380,$356.25,$359.86,$355.15
08/17/2021,$358.45,12328740,$362.98,$364.67,$355.07
08/16/2021,$366.56,11232270,$362.52,$366.95,$357.38
