Date,Close/Last,Volume,Open,High,Low
02/04/2022,$179.47,15708360,$178.99,$182.41,$176.81
02/03/2022,$179.1,36120200,$180.8,$192.1,$177.29
02/02/2022,$188.2,25646260,$180.94,$188.64,$180.26
02/01/2022,$177.13,9724551,$176.4447,$177.4292,$173.105
01/31/2022,$175.76,11273470,$167.06,$175.95,$165.8
01/28/2022,$166.81,10320820,$162.01,$166.94,$157.38
01/27/2022,$161.2,10743020,$169.31,$171.45,$160.61
01/26/2022,$167,10492240,$168.58,$174.55,$163.9
01/25/2022,$165.45,10708460,$166.17,$170.32,$161.2
01/24/2022,$170.07,17531650,$162.18,$170.82,$158.6037
01/21/2022,$164.93,11898690,$166.24,$172.04,$164.57
01/20/2022,$166.5,9468486,$174.53,$174.99,$166.29
01/19/2022,$172.47,10082730,$180.57,$181.2099,$172.27
01/18/2022,$178.86,10483100,$185.87,$186,$178.27
01/14/2022,$188.69,9587265,$182.8,$190.09,$182.01
01/13/2022,$183.89,10190900,$188.7,$191.58,$183.285
01/12/2022,$186.42,7317544,$186.6,$189.46,$185.1852
01/11/2022,$185.4,9590950,$179.19,$185.65,$177.22
01/10/2022,$179.68,11159270,$178.27,$180,$173.76
01/07/2022,$180.41,7386150,$186.6,$188.3582,$180.12
01/06/2022,$185.95,9117654,$184.52,$188.47,$183
01/05/2022,$186.5,17141230,$186.5,$193.58,$184.73
01/04/2022,$187.23,8484173,$187,$188.93,$181.01
01/03/2022,$186.21,6004749,$182.91,$186.88,$182.24
12/31/2021,$182.87,4113292,$183.31,$185.145,$182.6
12/30/2021,$182.73,4108415,$185.88,$186.5199,$182.31
12/29/2021,$186.2,5417175,$184.685,$187.39,$184.56
12/28/2021,$184.82,5402761,$186.59,$186.73,$183.49
12/27/2021,$186.33,4867720,$183.21,$186.41,$183.02
12/23/2021,$182.74,4918896,$181.53,$183.71,$181.38
12/22/2021,$181.38,5227183,$179,$181.52,$177.63
12/21/2021,$179.58,7702376,$179.38,$180.15,$174.22
12/20/2021,$176.67,6306381,$174.29,$177.08,$173.46
12/17/2021,$176.8,16264960,$175.725,$180.1195,$175.02
12/16/2021,$178.15,14872970,$190.304,$192.68,$176.11
12/15/2021,$189.28,11082020,$183.97,$189.78,$179.98
