Date,Close/Last,Volume,Open,High,Low
02/04/2022,$9.11,41500200,$9.02,$9.25,$8.95
02/03/2022,$9.06,31059360,$9.025,$9.1,$8.92
02/02/2022,$9.09,23610590,$9.02,$9.15,$8.96
02/01/2022,$9.07,16479060,$9.11,$9.15,$8.995
01/31/2022,$9.07,42834520,$8.72,$9.1686,$8.66
01/28/2022,$8.67,21237060,$8.58,$8.7,$8.55
01/27/2022,$8.63,22613020,$8.73,$8.84,$8.62
01/26/2022,$8.66,39774990,$8.87,$8.88,$8.62
01/25/2022,$8.77,37309000,$8.82,$8.9677,$8.65
01/24/2022,$8.93,62570340,$8.79,$9.05,$8.64
01/21/2022,$8.99,41437700,$9.01,$9.15,$8.96
01/20/2022,$9.03,50691410,$9.02,$9.175,$9
01/19/2022,$9.02,56999520,$9.01,$9.14,$8.96
01/18/2022,$8.99,93062000,$8.925,$9.12,$8.89
01/14/2022,$8.96,48577140,$9.015,$9.08,$8.94
01/13/2022,$9.06,49085610,$9.165,$9.17,$9.04
01/12/2022,$9.15,92962520,$8.9,$9.2,$8.89
01/11/2022,$8.85,147652600,$8.47,$8.9,$8.46
01/10/2022,$8.44,327842300,$8.9,$8.91,$8.38
01/07/2022,$6,22282650,$6.08,$6.14,$5.9
01/06/2022,$6.09,18512950,$6.09,$6.22,$5.94
01/05/2022,$6.12,16398350,$6.32,$6.43,$6.12
01/04/2022,$6.32,32186190,$6.52,$6.56,$6.23
01/03/2022,$6.54,14963290,$6.415,$6.58,$6.385
12/31/2021,$6.4,12759970,$6.53,$6.65,$6.39
12/30/2021,$6.56,16980980,$6.32,$6.69,$6.31
12/29/2021,$6.29,15397950,$6.44,$6.45,$6.25
12/28/2021,$6.4,13305770,$6.4,$6.57,$6.37
12/27/2021,$6.42,13110540,$6.54,$6.62,$6.4
12/23/2021,$6.56,17022550,$6.37,$6.58,$6.27
12/22/2021,$6.38,14043100,$6.46,$6.48,$6.36
12/21/2021,$6.48,17298750,$6.58,$6.61,$6.435
12/20/2021,$6.47,24186270,$6.45,$6.59,$6.4
